StateUniqueIdentifier	AgencyCode	StateAbbreviation	BmpShortname  	GeographyName	AnimalGroup               	LoadSourceGroup            	Amount	Unit        	NReductionFraction	PReductionFraction
beebop               	NONFED    	MD               	AgStormEff    	10003        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10003        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10003        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10003        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10003        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10005        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10005        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10005        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10005        	broilers                  	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10005        	broilers                  	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10005        	broilers                  	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10005        	broilers                  	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10005        	broilers                  	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10005        	broilers                  	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10005        	dairy                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10005        	dairy                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10005        	dairy                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10005        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10005        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10005        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10005        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10005        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10005        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10005        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10005        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10005        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10005        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10005        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10005        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10005        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10005        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10005        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10005        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10005        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10005        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10005        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10005        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10005        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10005        	pullets                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10005        	pullets                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10005        	pullets                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10005        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10005        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10005        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	10005        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	10005        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	10005        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24005        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24005        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24005        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24005        	beef                      	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24005        	beef                      	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24005        	beef                      	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24005        	broilers                  	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24005        	broilers                  	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24005        	broilers                  	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24005        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24005        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24005        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24005        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24005        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24005        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24005        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24005        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24005        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24005        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24005        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24005        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24005        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24005        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24005        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24005        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24005        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24005        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24005        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24005        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24005        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24005        	pullets                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24005        	pullets                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24005        	pullets                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24005        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24005        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24005        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24005        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24005        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24005        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24013        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24013        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24013        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24013        	broilers                  	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24013        	broilers                  	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24013        	broilers                  	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24013        	dairy                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24013        	dairy                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24013        	dairy                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24013        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24013        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24013        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24013        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24013        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24013        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24013        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24013        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24013        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24013        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24013        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24013        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24013        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24013        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24013        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24013        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24013        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24013        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24013        	layers                    	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24013        	layers                    	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24013        	layers                    	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24013        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24013        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24013        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24013        	pullets                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24013        	pullets                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24013        	pullets                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24013        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24013        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24013        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24013        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24013        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24013        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	broilers                  	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	broilers                  	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	broilers                  	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	dairy                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	dairy                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	dairy                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	horses                    	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	horses                    	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	horses                    	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	layers                    	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	layers                    	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	layers                    	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	pullets                   	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	pullets                   	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	pullets                   	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24015        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24015        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24015        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24021        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24021        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24021        	beef                      	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24021        	broilers                  	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24021        	broilers                  	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24021        	broilers                  	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24021        	dairy                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24021        	dairy                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24021        	dairy                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24021        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24021        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24021        	dairy                     	Permitted Feeding Space    	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24021        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24021        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24021        	goats                     	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24021        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24021        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24021        	hogs and pigs for breeding	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24021        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24021        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24021        	hogs for slaughter        	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24021        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24021        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24021        	horses                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24021        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24021        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24021        	layers                    	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24021        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24021        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24021        	other cattle              	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24021        	pullets                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24021        	pullets                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24021        	pullets                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24021        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24021        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	LoafLot       	24021        	sheep and lambs           	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	AgStormEff    	24021        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
beebop               	NONFED    	MD               	BarnRunoffCont	24021        	turkeys                   	Non-Permitted Feeding Space	1     	Animal Count
